Extracting audio from 'eshg-2025-workshop-mark-kokoris-mc--17411'...
Transcribing audio to text...

[00:00:00.000 --> 00:00:06.920]   Welcome, everybody. So, a couple things. So, we did an introduction back in February, a webinar.
[00:07:22.000 --> 00:07:28.720]   microsecond-level pulse, you can advance the expandimer to the next level, and that shows now a C code coming in,
[00:07:28.720 --> 00:07:35.640]   and so on and so forth. And with this approach, we can modulate the throughput in a very controlled,
[00:07:35.640 --> 00:07:41.560]   deterministic way, and that one adds efficiency, but adds quality to the measurement. This is all about
[00:07:41.560 --> 00:07:47.700]   efficiency of measurement at the end of the day, and so this is a big deal. When we first made the
[00:07:47.700 --> 00:07:52.700]   company, it's actually many years later, we drew this up. That's actually a drawing of what we wanted
[00:07:52.700 --> 00:07:58.440]   to do, and, you know, this is the dream of what we tried to do, and a mere five or six or seven years
[00:07:58.440 --> 00:08:03.900]   later, this was actually a real expandimer trace once we figured out how all the elements that had to
[00:08:03.900 --> 00:08:09.320]   come together to make these expandimers. This is a result on a single pore axopatch system that we did
[00:08:09.320 --> 00:08:14.280]   stratogenomics, but you get an idea of that signal resolution we were able to achieve, so we'd solve
[00:08:14.280 --> 00:08:21.280]   that part of the problem. You get an idea of where homopolymer looks like three C bases in a row. You
[00:08:21.280 --> 00:08:26.220]   see the resolution there, and then, of course, the level histograms, how nicely separated they are. I mean,
[00:08:26.220 --> 00:08:29.600]   this is critical for single molecule measurement. If you're going to have accurate sequencing,
[00:08:29.600 --> 00:08:34.640]   you can't have overlapping histograms, and so that was, so we'd achieve this. I look at this as kind of
[00:08:34.640 --> 00:08:41.040]   like the baby picture of the expandimers, so we look at this, you know, fondly, but then we had to
[00:08:41.040 --> 00:08:46.500]   transition, so now moving it into a much larger array. Now, instead of one nanopore, we're on an eight
[00:08:46.500 --> 00:08:53.340]   million array where we combine microwells, electrodes, and detection circuits to do the analog to digital
[00:08:53.340 --> 00:08:58.400]   conversion, and you can see in the right hand there, you see a single microwell with a bilayer, that
[00:08:58.400 --> 00:09:03.560]   orangish color, a pore, and expandimers threading through. So now eight million times the throughput.
[00:09:03.560 --> 00:09:10.280]   So the sequencing instrument, again, fluid handling, but, of course, all the data coming off the system.
[00:09:10.280 --> 00:09:18.220]   The sensor module is a key part that contains the chip, the eight million chip on it, and it allows for
[00:09:18.220 --> 00:09:22.800]   the fluidic control of all the reagents to go through, and a process, a very simplified version
[00:09:22.800 --> 00:09:28.440]   of the process. On the right there is a sequencing workflow where you set up the bilayer, do the pore
[00:09:28.440 --> 00:09:35.340]   insertion, throw on your expandimer reagent to do your sequencing, clean the system, and reuse. This
[00:09:35.340 --> 00:09:41.520]   is key. I mean, as you can imagine, this is a pretty sophisticated device, and so being able to reuse is
[00:09:41.520 --> 00:09:47.460]   pretty critical to get the cost profile down, and so this is something that I think really is very
[00:09:47.460 --> 00:09:52.700]   important for the chemistry that you literally go through that workflow, that cyclical workflow, over
[00:09:52.700 --> 00:09:57.280]   and over and over again, and I think that really helps us drive the cost down significantly.
[00:09:57.280 --> 00:10:06.300]   And just a picture of the pores. So remember, it's an eight million array, so, you know, times zero.
[00:10:06.300 --> 00:10:10.740]   Typically, we would get into seven-plus-million pores that are actually sequence-quality pores,
[00:10:10.740 --> 00:10:17.140]   which is an astounding number, actually, when you think about Poisson. And then over time, as you can imagine,
[00:10:17.140 --> 00:10:22.120]   you know, pores will clog, or you'll have a bilayer break. And so you can see what it looks like over,
[00:10:22.120 --> 00:10:26.460]   say, a four-hour run. You still have five million functioning sequencing pores. But all the throughput
[00:10:26.460 --> 00:10:32.240]   I'm showing for the longer runs would have gone through that type of fall-off of pores, and that's also
[00:10:32.240 --> 00:10:37.500]   another opportunity for us to improve throughput into the future. Okay, this is now what a single
[00:10:37.500 --> 00:10:42.960]   pore would look like on the eight million array, and you can see that arrow pointing to open channel,
[00:10:42.960 --> 00:10:47.000]   which is no expandimer flowing through. And you get an idea of the signal,
[00:10:47.080 --> 00:10:52.060]   separation of many hundreds of expandimers, maybe even thousands of expandimers going through.
[00:10:52.060 --> 00:10:57.220]   But when you zoom in, you can see what one expandimer molecule looks like. That's probably
[00:10:57.220 --> 00:11:03.300]   a 900 to 1,000 base sequence. And you zoom in even further, you get an idea of the signal resolution
[00:11:03.300 --> 00:11:09.320]   for the translated XP base calls there. So still great signal resolution on the eight million array.
[00:11:09.320 --> 00:11:15.900]   And again, flexibility is key. We want you to be able to do one expandimer or four expandimer pools,
[00:11:16.140 --> 00:11:23.120]   whatever the multiplex level you want. In fact, that's what the synthesizer does up to four samples at a time.
[00:11:23.120 --> 00:11:31.680]   And if you have, you know, four minutes to four hours of sequencing you need, we want to be able to allow people to sequence through the whole flexibility
[00:11:31.680 --> 00:11:37.800]   throughput spectrum there on the left here. So that's the goal, has been the goal of the technology from the very beginning.
[00:11:37.800 --> 00:11:47.240]   Okay. So moving on to duplex sequencing. We've covered this several times up to this point, but it's basically the structure there,
[00:11:47.240 --> 00:11:55.020]   the library structure there shows a Y adapter and a hairpin so that you can actually generate an expandimer and do intramolecular consensus.
[00:11:55.280 --> 00:11:59.720]   It allows us to get very good accuracy with the single molecule technology.
[00:11:59.720 --> 00:12:09.460]   Okay. And the applications and some of the things we'll talk about today is MRD, as well as some of the rapid whole genome sequencing and FFPET.
[00:12:09.460 --> 00:12:13.860]   So this, the MRD and FFPET, this will be the first time we've talked about it. This is brand new data.
[00:12:13.860 --> 00:12:16.840]   And we haven't really started working on it in February.
[00:12:16.840 --> 00:12:21.860]   So this is all new stuff that we've been working on since the last main presentation we did.
[00:12:22.180 --> 00:12:29.140]   So the workflow for SBXD is pretty straightforward. You'd fragment a library to whatever links that you want
[00:12:29.140 --> 00:12:32.880]   and do this ordered ligation to put a Y adapter hairpin on.
[00:12:32.880 --> 00:12:36.760]   That show the amounts that we're typically using for genomic DNA and cell-free DNA.
[00:12:36.760 --> 00:12:42.580]   We then go through and do a linear amplification, which is one of the unique things about what we do.
[00:12:42.580 --> 00:12:49.020]   Very much helps us with our accuracy, being able to do linear amplification with homopolymer regions.
[00:12:49.360 --> 00:12:54.640]   Other than that, it's pretty normal synthesis that falls along the lines of the workflow I showed earlier.
[00:12:54.640 --> 00:12:56.980]   A little bit about read structure there.
[00:12:56.980 --> 00:13:00.060]   So on the left, you have some raw read results.
[00:13:00.060 --> 00:13:06.740]   What they look like on the right shows this partial duplex read, shows pictorially what it actually is.
[00:13:06.740 --> 00:13:11.240]   And in terms of these partial reads, they're exactly what it says.
[00:13:11.240 --> 00:13:13.140]   Some of it's duplex, some of it's simplex.
[00:13:13.140 --> 00:13:14.600]   We use all of that information.
[00:13:14.960 --> 00:13:16.080]   We don't want to throw it away.
[00:13:16.080 --> 00:13:22.140]   The duplex spaces are what we use to actually give us our concordant accuracy or reads that we get.
[00:13:22.140 --> 00:13:24.860]   Simplex spaces can actually be used to help us with mapping.
[00:13:24.860 --> 00:13:26.360]   So we don't throw it away.
[00:13:26.360 --> 00:13:26.940]   We use it.
[00:13:26.940 --> 00:13:30.120]   But we only use the duplex spaces for our accuracy determination.
[00:13:30.120 --> 00:13:34.740]   And then below, we see the full-length reads, which you get an idea of what those look like.
[00:13:34.740 --> 00:13:38.340]   On the bottom, you can see the hairpin adapter sequence in the middle.
[00:13:38.340 --> 00:13:42.720]   So you get an idea of the length histogram that we typically see for expandable lengths.
[00:13:42.720 --> 00:13:45.340]   Okay.
[00:13:45.340 --> 00:13:46.800]   A little bit of update on the data.
[00:13:46.800 --> 00:13:48.260]   So we showed this previously.
[00:13:48.260 --> 00:13:55.320]   These are genome-in-a-bottle samples, one-hour sequencing run, five billion duplex reads in one-hour sequencing.
[00:13:55.320 --> 00:13:59.920]   You get an idea of the median coverage that we see and the mean insert length.
[00:13:59.920 --> 00:14:03.740]   Those are the lengths of the full-length duplex reads that we're showing there.
[00:14:03.740 --> 00:14:09.540]   So around 240 to 250, median coverage, high 30s to low 40s.
[00:14:09.540 --> 00:14:14.980]   And then the F1 scores for SMBs and indels are shown in the table there.
[00:14:14.980 --> 00:14:20.640]   And I'll point out that we have both our GATK Roche machine learning approach on the left,
[00:14:20.640 --> 00:14:22.480]   as well as the deep variant from Google.
[00:14:22.480 --> 00:14:24.180]   Great collaboration there.
[00:14:24.180 --> 00:14:26.660]   Really awesome team to work with.
[00:14:26.660 --> 00:14:28.940]   Their numbers, you can see, are a little bit better.
[00:14:28.940 --> 00:14:32.620]   But I wanted to acknowledge that relationship there.
[00:14:33.740 --> 00:14:38.200]   So as we said, accuracy since the last time has improved a bit.
[00:14:38.200 --> 00:14:46.260]   Q40 average duplex base quality and 99.9% coverage of greater than 10X coverage for the genome.
[00:14:46.260 --> 00:14:49.880]   So all of those numbers are improved from just two or three months before.
[00:14:51.960 --> 00:14:56.640]   And this kind of shows, in terms of F1 scores, the dark blue being where we are currently
[00:14:56.640 --> 00:15:04.000]   and the light blue being where we were in February, which is already really good numbers for an amplified library.
[00:15:04.000 --> 00:15:07.360]   And so we're continuing to push on that and we'll continue to do so.
[00:15:07.360 --> 00:15:12.080]   And this just shows the results if you downsample to 30X.
[00:15:12.640 --> 00:15:15.020]   Typically, that's usually one way of looking at it.
[00:15:15.020 --> 00:15:16.920]   They really don't change that much.
[00:15:16.920 --> 00:15:21.200]   Maybe a 0.1 or 0.15 drop in F1 scores going to 30X.
[00:15:21.200 --> 00:15:22.260]   Still very good results.
[00:15:22.260 --> 00:15:24.640]   Okay.
[00:15:24.640 --> 00:15:32.500]   Looking at the homopolymer links, you can see that for all homopolymer links, less than 17 base pairs.
[00:15:32.860 --> 00:15:36.620]   We have F1 scores greater than 99% using either pipeline.
[00:15:36.620 --> 00:15:38.400]   And that's on the left is the Roche pipeline.
[00:15:38.400 --> 00:15:39.480]   On the right is deep barrier.
[00:15:39.480 --> 00:15:42.380]   Very, very good results in terms of homopolymer.
[00:15:42.380 --> 00:15:44.260]   Coverage.
[00:15:44.260 --> 00:15:51.000]   On the left, you have the histograms of both all reads and just a full duplex reads on the left.
[00:15:51.000 --> 00:15:58.600]   And you can see, in terms of the coverage across the GC spectrum, the low GC, you know, look at that.
[00:15:58.600 --> 00:16:04.400]   Still really happy with that little work we can do there on that, but still very happy with what we're seeing at the low GC.
[00:16:04.400 --> 00:16:06.720]   High GC is looking pretty great.
[00:16:06.720 --> 00:16:09.340]   So we'll always continue to improve.
[00:16:09.340 --> 00:16:16.640]   Next up on the list will probably be to lift up the lower GC on this, but still very, very good data that we get out of this.
[00:16:16.640 --> 00:16:18.540]   Okay.
[00:16:18.540 --> 00:16:22.380]   And then accuracy across the links, very links of expandimers.
[00:16:22.840 --> 00:16:28.300]   This kind of shows just no drop-off in FRED score as you go through the number of links.
[00:16:28.300 --> 00:16:36.680]   So, like, for example, the 300 base insert there, you see a pretty flat line with FRED scores of 40 across the entire length of 300 MERS.
[00:16:36.680 --> 00:16:41.560]   And there was 350,000 of them used to plot this data here.
[00:16:41.560 --> 00:16:44.660]   So no drop-off in accuracy across length.
[00:16:46.140 --> 00:16:51.500]   Okay, SBX fast, very similar to SBX-D, only we don't do the linear amplification step.
[00:16:51.500 --> 00:16:53.180]   We put more sample in.
[00:16:53.180 --> 00:16:58.040]   In this case, we put 2 micrograms in, but then we don't have an amplification step here.
[00:16:58.040 --> 00:17:02.940]   2 micrograms is really driven by the level of plex that we have.
[00:17:02.940 --> 00:17:06.120]   If you're not going to plex deeply, 2 micrograms is what we go with.
[00:17:06.120 --> 00:17:11.740]   But if you wanted to do higher multiplexing, you can get away with probably less DNA into the future.
[00:17:12.920 --> 00:17:14.580]   Okay, so amplification-free workflow.
[00:17:14.580 --> 00:17:18.760]   And the results here, we showed something similar before.
[00:17:18.760 --> 00:17:19.900]   Very, very good.
[00:17:19.900 --> 00:17:21.820]   F1 scores again for these.
[00:17:21.820 --> 00:17:31.000]   We ran these as trios because that's going to overlap more with what Sean's going to talk about for the direction of the SBX fast workflow is to run solos or trios.
[00:17:31.000 --> 00:17:35.100]   So we ran these as trios, so we actually have a lot higher coverage here.
[00:17:35.100 --> 00:17:36.700]   But still very good results.
[00:17:36.700 --> 00:17:39.060]   Difference between February and May.
[00:17:39.060 --> 00:17:40.840]   Still, you know, big jump.
[00:17:41.320 --> 00:17:47.440]   And a lot of these improvements were, they were chemistry, they were data algorithm analysis, the range of things.
[00:17:47.440 --> 00:17:49.800]   There just wasn't one thing that led to these improvements.
[00:17:49.800 --> 00:17:56.660]   And so we'll keep working along those lines for all the chemistries and all the approaches we're working on right now.
[00:17:56.660 --> 00:17:58.440]   Okay.
[00:17:58.540 --> 00:18:03.240]   Same thing when you downsample 30X, still very, very good F1 scores.
[00:18:03.240 --> 00:18:10.400]   Homopolymer now, instead of 17 bases, we have F1 scores greater than 99% all the way up to 21 bases.
[00:18:10.400 --> 00:18:11.160]   So even better.
[00:18:11.160 --> 00:18:13.760]   And that's the difference between doing amplification or not.
[00:18:14.020 --> 00:18:18.240]   But still, for the amplified results, very good homopolymer accuracies.
[00:18:18.240 --> 00:18:21.740]   Histogram, very similar to what we showed before.
[00:18:21.740 --> 00:18:23.560]   Same thing with read depth and coverage.
[00:18:23.560 --> 00:18:25.080]   Very, very good there.
[00:18:25.080 --> 00:18:27.800]   Continuing to work on that as well.
[00:18:27.800 --> 00:18:32.640]   But I think, you know, so far, I think very, very good coverage across the GC spectrum.
[00:18:32.640 --> 00:18:34.880]   Opportunities always, though, to improve.
[00:18:36.140 --> 00:18:44.300]   So in comparing February to May, we can see the read length differences between SBXD and FAST, going from 230 to 248.
[00:18:44.300 --> 00:18:45.860]   Both increase there.
[00:18:45.860 --> 00:18:51.160]   The improvement in FED scores to Q40 and then coverage improvements.
[00:18:51.160 --> 00:18:55.940]   So across the board, we've improved the chemistry and the detection.
[00:18:55.940 --> 00:18:57.460]   So this is a fun one.
[00:18:57.460 --> 00:19:05.620]   So this is something that we've been actively working on since February is SBX FAST time trials in a solo sample.
[00:19:05.780 --> 00:19:08.560]   How fast can we process a human genome?
[00:19:08.560 --> 00:19:16.800]   And so the workflow we showed above here, going from library prep to expandimer synthesis, sequencing, and then analysis through variant calling.
[00:19:16.800 --> 00:19:19.080]   And so those are the time windows that we ran.
[00:19:19.080 --> 00:19:22.960]   So now, in February, we were at 6 hours and 25 minutes.
[00:19:22.960 --> 00:19:27.640]   We're now at 4 hours and 23 minutes for library prep through VCF.
[00:19:27.640 --> 00:19:30.300]   And there's still more room to improve on this.
[00:19:30.300 --> 00:19:31.940]   And so we'll keep working on this.
[00:19:31.940 --> 00:19:36.180]   But our goal originally was to be able to do trios within a normal workday.
[00:19:36.180 --> 00:19:38.480]   I think we're going to be well within that.
[00:19:38.480 --> 00:19:40.080]   Sean will cover some of that in his talk.
[00:19:40.080 --> 00:19:42.100]   So we were able to detect the variant.
[00:19:42.100 --> 00:19:45.900]   In this case, it was a Coriol sample with propionic acidemia.
[00:19:45.900 --> 00:19:47.800]   Able to positively detect that.
[00:19:47.800 --> 00:19:48.940]   30x coverage.
[00:19:48.940 --> 00:19:49.600]   Yeah.
[00:19:49.600 --> 00:19:51.580]   In just a little over 4 hours and 23 minutes.
[00:19:51.840 --> 00:19:55.860]   This did not include the actual prep of DNA prep.
[00:19:55.860 --> 00:20:04.900]   So add another 20 minutes to that, we'd be at about 4 hours and 43 minutes for total sequencing from blood sample all the way through variant calling.
[00:20:04.900 --> 00:20:06.260]   So pretty exciting.
[00:20:06.260 --> 00:20:09.760]   It was fun to work on that and fun to continue to work on that.
[00:20:09.760 --> 00:20:16.740]   And in fact, we just announced this last week, I believe, yeah, that we were doing an expanded collaboration with Broad.
[00:20:16.740 --> 00:20:18.520]   So we're going to continue to do a lot of this.
[00:20:18.520 --> 00:20:21.640]   And I don't know if Sean can maybe mention that in his talk.
[00:20:21.640 --> 00:20:32.820]   So one of the other key things for these solo SBX fast runs was being able to do the analysis and read mapping and alignment basically concurrent with the sequencing itself.
[00:20:32.820 --> 00:20:43.280]   This comes down to what I was mentioning before, the efficiency of measurement and the efficiencies that you have to be able to do throughout every step in the process like this if you're going to get your costs down.
[00:20:43.280 --> 00:20:49.920]   Well, in this case, we're able to actually do DMUX, intramolecular consensus, mapping and alignment concurrent.
[00:20:49.920 --> 00:20:58.400]   And that involved, you know, a lot of improvements in the implementation of literally every accelerated algorithm in the pipeline that we're currently using.
[00:20:58.520 --> 00:21:04.380]   But in doing that, we're essentially able to get rid of hours of time of sequencing.
[00:21:04.380 --> 00:21:14.700]   So this is a big part of it and wanted to acknowledge that and great relationships that we have with NVIDIA as well as working on the Parabricks libraries with the team.
[00:21:14.700 --> 00:21:24.880]   But a big part of this, along with some of the chemistry adjustments, of course, that we've been making to get to that really fast genome sequencing time.
[00:21:24.880 --> 00:21:27.420]   Okay, moving on to some new stuff.
[00:21:27.420 --> 00:21:33.620]   So FFPET, so very similar looking workflow, SPXD-like workflow.
[00:21:33.620 --> 00:21:46.820]   In this case, we actually did some DNA repair steps to, before we found we got better yield and actually better accuracy by going through a DNA repair step prior to doing the duplex library preparation.
[00:21:46.820 --> 00:21:50.920]   Again, linear amplification as well we use for the process.
[00:21:50.920 --> 00:21:55.640]   But other than that, it was pretty much the same as the SPXD protocol we normally run.
[00:21:56.080 --> 00:22:05.800]   So in terms of samples, we did 18 matched normal tumor samples that we ran through with the range of Q ratios that were determined by the line assay.
[00:22:06.280 --> 00:22:10.120]   So you get an idea of kind of the ranges of quality of the samples that we were using here.
[00:22:10.120 --> 00:22:15.740]   Normally, we don't do these type of comparisons, but we needed some frame of reference.
[00:22:15.740 --> 00:22:19.600]   So we just figured we'd list, you know, exactly kind of what we ran here.
[00:22:19.800 --> 00:22:28.600]   So in comparing new Illumina sequencing, we used the AnyBnext repair kit, 100 nanograms for each sample going in.
[00:22:28.600 --> 00:22:31.080]   For SPX, we did the SPXD protocol.
[00:22:31.080 --> 00:22:34.560]   For Illumina, they used the Kappa EVO Plus V2 library prep.
[00:22:34.560 --> 00:22:39.260]   For Illumina, they did the NovaSeq 6000 S4 300 cycle kit.
[00:22:39.760 --> 00:22:46.740]   All of the data that we actually included in the summary here were greater than 70x coverage were included for comparison.
[00:22:46.740 --> 00:22:50.920]   And for Illumina, we used the Dragon 4.3 for analysis.
[00:22:51.680 --> 00:23:03.620]   So looking at the data, the accuracy for the – basically, SPX shows lower SNV indel error rates, higher long homopolymer accuracy when compared to Illumina.
[00:23:03.620 --> 00:23:06.080]   I mean, when you look at the previous data, it kind of makes sense.
[00:23:06.080 --> 00:23:08.280]   We're doing really well with the long homopolymer.
[00:23:08.280 --> 00:23:14.020]   On the left, you can see the FRED scores are looking very good for SPX, relatively speaking.
[00:23:14.020 --> 00:23:16.260]   Error rates also looking good.
[00:23:16.260 --> 00:23:26.860]   And then you see that nice profile, especially looking out at homopolymer lengths of 8 all the way through 20, how well they compare with this, again, amplified protocol.
[00:23:26.860 --> 00:23:34.140]   With a lot of FFP samples, it kind of may make sense to be able to use an amplified protocol, but in this case, looking quite good.
[00:23:34.140 --> 00:23:37.100]   And this carries on through the rest of the analysis we're doing for FFP.
[00:23:37.100 --> 00:23:42.960]   So similar on coverage, SPX showed better coverage uniformity in the higher GC regions.
[00:23:42.960 --> 00:23:44.240]   I show to the right here.
[00:23:44.240 --> 00:23:46.160]   Overall, though, pretty comparable there.
[00:23:46.260 --> 00:23:47.060]   Looking good.
[00:23:47.060 --> 00:23:51.640]   But that higher GC, I think, is definitely, for us, a real difference.
[00:23:51.640 --> 00:23:54.800]   Okay.
